idiom,pinyin,explanation
坚定不移,jiān dìng bù yí,移改变，变动。稳定坚强，毫不动摇。
随时随地,suí shí suí dì,①指依照当时当地情形；在不同的时间、地点。②任何时间、地点；时时处处。
全力以赴,quán lì yǐ fù,赴前往。把全部力量都投入进去。
丰富多彩,fēng fù duō cǎi,内容丰富，花色繁多。
余波未平,yú bō wèi píng,指某一事件虽然结束了，可是留下的影响还在起作用。
脱颖而出,tuō yǐng ér chū,颖尖子。锥尖透过布囊显露出来。比喻本领全部显露出来。
实事求是,shí shì qiú shì,指从实际对象出发，探求事物的内部联系及其发展的规律性，认识事物的本质。通常指按照事物的实际情况办事。
一如既往,yī rú jì wǎng,一完全；既往从前，已往。指态度没有变化，完全象从前一样。
众所周知,zhòng suǒ zhōu zhī,大家普遍知道的。
一年一度,yī nián yī dù,指每年一次。
因地制宜,yīn dì zhì yí,因依据；制制定；宜适当的措施。根据各地的具体情况，制定适宜的办法。
千方百计,qiān fāng bǎi jì,想尽或用尽一切办法。
息息相关,xī xī xiāng guān,息呼吸时进出的气◆吸也相互关联。形容彼此的关系非常密切。
层出不穷,céng chū bù qióng,层重复；穷尽。接连不断地出现，没有穷尽。
引人注目,yǐn rén zhù mù,注目注视。吸引人们注意。
当务之急,dāng wù zhī jí,当务指应当办理的事。当前任务中最急切要办的事。
滥用职权,làn yòng zhí quán,指过分地或非法地行使自己掌握的权力。
深入人心,shēn rù rén xīn,指理论、学说、政策等为人们深切了解和信服。
见义勇为,jiàn yì yǒng wéi,看到正义的事，就勇敢地去做。
敲诈勒索,qiāo zhà lè suǒ,依仗势力或抓籽柄进行恐吓，用威胁手段索取财物。
名不虚传,míng bù xū chuán,虚假。传出的名声不是虚假的。指实在很好，不是空有虚名。
来之不易,lái zhī bù yì,来之使之来。得到它不容易。表示财物的取得或事物的成功是不容易的。
名副其实,míng fù qí shí,名声或名义和实际相符。
下落不明,xià luò bù míng,下落着落，去处。指不知道要寻找的人或物在什么地方。
坚持不懈,jiān chí bù xiè,懈松懈。坚持到底，一点不忪懈。
源源不断,yuán yuán bù duàn,形容接连不断。
络绎不绝,luò yì bù jué,形容行人车马来来往往，接连不断。
