菜谱名称,难度,口味,烹饪时间,食材,步骤
烤箱烤鸡翅,初级入门,家常味,<30分钟,鸡翅中9个 胡椒粉3克孜然粉3克料酒20克酱油20克蜜糖15克 ,1.将鸡翅用水浸泡10分钟 2.捞出鸡翅加入胡椒粉、孜然粉、料酒、酱油、蜜糖用手抓匀腌制一到两个小时 3.将腌制好的鸡翅放在烤盘上放入烤箱中 4.调至230度烤十分钟 5.十分钟后拿出鸡翅反正面撒上孜然和蜜糖后放回烤箱 6.最后再烤20分钟 
烤生蚝,初级入门,咸鲜味,<30分钟,生蚝3个 蒜末3克葱花5克辣椒5克生抽3克盐2克 ,1.准备生蚝，去盖 2.准备蒜末3g、葱末5g、辣椒5g 3.碗中倒入切好的食材，加入生抽3g、盐2g，搅拌均匀 4.生蚝放入烤盘，淋上酱汁，放入烤箱 5.180°C上下火，25分钟，出锅完成 
黄桥烧饼,中级掌勺,咸鲜味,<30分钟,面粉200克 葱5克酵母粉3克白砂糖2克 ,1.葱花备用 2.容器中加入酵母粉，30℃清水100ml 3.加入白砂糖，面粉，搅拌成絮状 4.加入猪油，搅拌均匀 5.揉成面团，发酵两个小时 6.取面团30g，撒适量面粉，擀成椭圆状 7.卷起，再次擀成椭圆状 8.卷起，再次擀成椭圆状 9.面条上涂抹花生酱，撒些葱花，加盐，卷起 10.刷蛋黄液适量，撒白芝麻，放入烤箱，预热186℃上下火，20分钟 
奥尔良烤鸡,初级入门,甜味,<一天,葱5克姜2克土豆20克林竹鸡50克 盐5克胡椒粉3克奥尔良烤鸡腿调味料50克料酒50克 ,1.葱切段，姜切片，土豆削皮切块 2.竹林鸡剪开，倒入葱、姜片、土豆块，加盐、黑胡椒粉、奥尔良烤鸡腿调味料、料酒，冷藏腌制24小时 3.烤箱预热180°C上下火、40分钟 4.烤箱预热180°C上下火、40分钟 5.
叫花鸡,高级厨师,咸鲜味,<2小时,白条鸡1只面粉400克 水80毫升生抽50克蚝油5克黄油10克麻油5克盐5克味精2克白糖2克葱花5克姜片15克蒜瓣15克洋葱适量香菇适量白酒50克 ,1.白条鸡1只，加水600毫升，洗净沥干 2.加水80毫升、生抽50克、蚝油5克、黄油10克、麻油5克、盐5克、味精2克、白糖2克，搅拌均匀 3.倒入葱花5克，姜片15克，蒜瓣15克，淋上调味料，按摩5分钟，盖好保鲜膜，冷藏2小时，中间取出翻动 4.洋葱切丝，香菇切片，取出腌好的鸡，放入香菇片、洋葱丝，搅拌腌制，塞入鸡腹，锡纸包裹 5.准备面粉400克，水160克 ，白酒50克，揉成面团，擀成大面皮，包裹锡纸，220度烤30分钟，再180度烤90分钟，呈出即可 
葱花鸡蛋饼,初级入门,咸鲜味,<15分钟,面粉50克鸡蛋2个 花椒粉1克盐3克食用油3毫升葱花5克 ,1.碗中加面粉，打入鸡蛋，加花椒粉、盐、葱花并搅拌均匀 2.锅中加食用油，刷匀。倒入面糊，煎至两面金黄 3.切成三角 4.装盘食用 5.享受美食。 
蒜香烤茄子,,香辣味,<30分钟,茄子1个大蒜20克盐3克蒜蓉辣酱1大勺青椒少许白胡椒少许 烧烤料适量 ,1.茄子从中间切开，在表面划几刀， 2.烤箱200度烤20分钟， 3.准备好调味料 4.抹到茄子上，再次入烤箱，200度烤5分钟左右，出炉品尝吧。 
照烧鸡肉披萨,初中水平,家常味,<数小时,面包粉453克酵母4.5克麦芽糖粉9克温水70克常温水225克橄榄油5克细海盐 红辣椒适量 绿辣椒 适量鸡腿 1个奶酪适量烤肉料适量烤肉酱适量 ,1.  1. 准备所有食材。 2.2.鸡腿剔骨后，用烤肉料或者自己喜欢的口味腌制起来，青红辣椒切辣椒圈备用。 3.将披萨饼皮的用料按照以下顺序放入：酵母 、温水、加入面粉和麦芽糖粉，加入冰水，加入食盐和橄榄油，面包机和面发酵。 4.面团发酵2-3倍大，发酵完成，提出面包桶。 5.此配方可用9寸盘两个披萨饼皮，分割两份，每个400克，排气揉圆静置10分钟。 6.静置完成后，两手拿起面团从中间往两端旋转使面团张开，类似印度飞饼的制作，双手旋转，使面皮均匀。 7..将面皮放入披萨盘，均匀推开面皮铺满烤盘，边缘厚一些，形成馅料和饼皮的分界线。 8.8.腌制好的鸡腿，将鸡皮一面放入煎锅中，煎出油脂。 9..翻面煎另一面。 10.取一个碗，放入蚝油、生抽、白糖、白胡椒粉和适量的水拌匀。 11.倒入煎锅中，加锅盖焖煮。 12.汤汁变浓时，关火备用。 13.取烤肉酱一包，均匀涂在饼皮上，撒入奶酪粒。 14.然后铺入切块后的照烧鸡腿肉，撒上青红椒丝。 15.烤箱预热，200度，放入披萨饼，烤15分钟后，取出，再次撒入奶酪碎，继续烘烤10分钟。 16.烘烤结束后，取出披萨饼，用轮刀切块食用。 
【爆竹迎新】培根卷,,咸鲜味,<60分钟,土豆2个培根4片香菜1根 太太乐鲜鸡汁1勺盐1茶匙黑胡椒粉少许淀粉1勺 ,1.土豆去皮切成片状。 2.培根从中间拦腰切成两段。 3.土豆放入沸水中煮15分钟，煮至软烂。 4.土豆片捞起后沥干水分，用叉子压成土豆泥。 5.放入一茶匙盐、一勺太太乐鲜鸡汁，少许胡椒粉搅拌均匀。 6.把土豆泥放在培根的一段，用手稍稍压紧，从下往上卷起。 7.烤盘铺上一锡纸，抹上一层油。 8.卷好的培根卷收口朝下码入烤盘中。 9.放入烤箱中层，180度烤15分钟。 10.锅里放入一碗清水，放入一勺太太乐鲜鸡汁、和少许胡椒粉，再用一勺淀粉、半碗清水调成淀粉水倒进锅中做成芡汁。 11.香菜去掉叶子，把培根卷摆在香菜茎的两边，最后用勺子淋上少许芡汁即可。 
砂锅烤鸡翅,初中水平,咸鲜味,<30分钟,鸡翅5个面粉适量鸡蛋1个 蜂蜜适量烤肉料适量 ,1.鸡翅洗净，用刀在鸡翅上划几刀。 2.把烤肉料放入容器中，戴上一次性手套，给鸡翅一个一个都按摩一遍。 3.按摩好的鸡翅，盖上保鲜膜，冷藏4个小时；中途要拿出来再翻面，按摩一下哦。 4.砂锅洗净擦干，锅底放入烤架。 5.烤架上面铺上锡纸。 6.把腌制好的鸡翅放入锅中。 7.盖上锅盖，用大火猛烤。 8.烤了15分钟左右时，打开锅盖，给鸡翅上面刷一层蜂蜜，然后把鸡翅翻面，也刷上一层蜂蜜，盖上锅盖，继续大火猛烤15分钟左右关火，焖10分钟左右，就可以开吃了。 9.焦黄诱人的鸡翅。 10.成品。 11.成品。 
肉松面包卷,初级入门,其它口味,<30分钟,面粉250克白砂糖30克牛奶140克 肉松适量白芝麻适量小葱2棵鸡蛋半个盐2克黄油30克 ,1.牛奶放入容器中 2.加入鸡蛋、白糖、盐。最后倒入面粉和酵母 3.厨师机选择一档揉面，揉成团之后改二挡 4.黄油切成块，室温融化 5.面团揉出筋之后倒入黄油 6.继续揉面，揉15分钟左右，出手套膜 7.面团取出来放到容器中，盖保鲜膜发酵 8.发至两倍大小，手指蘸干面粉从中间摁下去会有一个不会回缩的孔，代表面团发酵完成 9.取出面团，放在揉面垫上，进行排气 10.擀成长方形 11.烤盘上垫上一张油纸 12.擀好的面放在烤盘上 13.用叉子扎出一些孔 14.放入烤箱中，底端放一盆开水，进行二次发酵 15.小葱洗干净切成段 16.烤箱180度上下火预热 17.二发好的面上面刷一层蛋黄液 18.撒上香葱和白芝麻 19.放入预热好的烤箱 20.180度烤12分钟即可 21.程序结束后，取出烤好的面包，喷上一些水，用保鲜膜盖住，这样保证面包表皮的湿度，卷的时候才不会开裂甚至断开 22.面包晾凉之后，倒扣，两端用刀划一下，不要划断 23.刷一层沙拉酱，撒上肉松 24.将面包卷起来，用油纸紧紧包裹，两端拧紧进行定型 25.约5分钟后，去掉油纸，将面包切成段 26.两端刷上沙拉酱，蘸上肉松 27.好次的肉松卷做好了 
