,idiom,pinyin,explanation
0,坚定不移,"['jian', 'ding', 'bu', 'yi']",移改变，变动。稳定坚强，毫不动摇。
1,随时随地,"['sui', 'shi', 'sui', 'di']",①指依照当时当地情形；在不同的时间、地点。②任何时间、地点；时时处处。
2,全力以赴,"['quan', 'li', 'yi', 'fu']",赴前往。把全部力量都投入进去。
3,丰富多彩,"['feng', 'fu', 'duo', 'cai']",内容丰富，花色繁多。
4,余波未平,"['yu', 'bo', 'wei', 'ping']",指某一事件虽然结束了，可是留下的影响还在起作用。
5,脱颖而出,"['tuo', 'ying', 'er', 'chu']",颖尖子。锥尖透过布囊显露出来。比喻本领全部显露出来。
6,实事求是,"['shi', 'shi', 'qiu', 'shi']",指从实际对象出发，探求事物的内部联系及其发展的规律性，认识事物的本质。通常指按照事物的实际情况办事。
7,一如既往,"['yi', 'ru', 'ji', 'wang']",一完全；既往从前，已往。指态度没有变化，完全象从前一样。
8,众所周知,"['zhong', 'suo', 'zhou', 'zhi']",大家普遍知道的。
9,一年一度,"['yi', 'nian', 'yi', 'du']",指每年一次。
10,因地制宜,"['yin', 'di', 'zhi', 'yi']",因依据；制制定；宜适当的措施。根据各地的具体情况，制定适宜的办法。
11,千方百计,"['qian', 'fang', 'bai', 'ji']",想尽或用尽一切办法。
12,息息相关,"['xi', 'xi', 'xiang', 'guan']",息呼吸时进出的气◆吸也相互关联。形容彼此的关系非常密切。
13,层出不穷,"['ceng', 'chu', 'bu', 'qiong']",层重复；穷尽。接连不断地出现，没有穷尽。
14,引人注目,"['yin', 'ren', 'zhu', 'mu']",注目注视。吸引人们注意。
15,当务之急,"['dang', 'wu', 'zhi', 'ji']",当务指应当办理的事。当前任务中最急切要办的事。
16,滥用职权,"['lan', 'yong', 'zhi', 'quan']",指过分地或非法地行使自己掌握的权力。
17,深入人心,"['shen', 'ru', 'ren', 'xin']",指理论、学说、政策等为人们深切了解和信服。
18,见义勇为,"['jian', 'yi', 'yong', 'wei']",看到正义的事，就勇敢地去做。
19,敲诈勒索,"['qiao', 'zha', 'le', 'suo']",依仗势力或抓籽柄进行恐吓，用威胁手段索取财物。
20,名不虚传,"['ming', 'bu', 'xu', 'chuan']",虚假。传出的名声不是虚假的。指实在很好，不是空有虚名。
21,来之不易,"['lai', 'zhi', 'bu', 'yi']",来之使之来。得到它不容易。表示财物的取得或事物的成功是不容易的。
22,名副其实,"['ming', 'fu', 'qi', 'shi']",名声或名义和实际相符。
23,下落不明,"['xia', 'luo', 'bu', 'ming']",下落着落，去处。指不知道要寻找的人或物在什么地方。
24,坚持不懈,"['jian', 'chi', 'bu', 'xie']",懈松懈。坚持到底，一点不忪懈。
25,源源不断,"['yuan', 'yuan', 'bu', 'duan']",形容接连不断。
26,络绎不绝,"['luo', 'yi', 'bu', 'jue']",形容行人车马来来往往，接连不断。
27,弄虚作假,"['nong', 'xu', 'zuo', 'jia']",耍花招欺骗人。
28,不可思议,"['bu', 'ke', 'si', 'yi']",原有神秘奥妙的意思。现多指无法想象，难以理解。
29,不正之风,"['bu', 'zheng', 'zhi', 'feng']",不正当的社会风气。
30,小心翼翼,"['xiao', 'xin', 'yi', 'yi']",翼翼严肃谨慎。本是严肃恭敬的意思。现形容谨慎小心，一点不敢疏忽。
31,长治久安,"['chang', 'zhi', 'jiu', 'an']",治太平；安安定。形容国家长期安定、巩固。
32,如火如荼,"['ru', 'huo', 'ru', 'tu']",荼茅草的白花。象火那样红，象荼那样白。原比喻军容之盛。现用来形容大规模的行动气势旺盛，气氛热烈。
33,不折不扣,"['bu', 'zhe', 'bu', 'kou']",折、扣出售商品时，按定价减去的成数。没有折扣，表示完全、十足的意思。
34,后顾之忧,"['hou', 'gu', 'zhi', 'you']",顾回头看。来自后方的忧患。指在前进过程中，担心后方发生问题。
35,纸醉金迷,"['zhi', 'zui', 'jin', 'mi']",原意是让闪光的金纸把人弄迷糊了。形容叫人沉迷的奢侈繁华环境。
36,力所能及,"['li', 'suo', 'neng', 'ji']",力体力，能力；及达到。在自己力量的限度内所能做到的。
37,供不应求,"['gong', 'bu', 'ying', 'qiu']",供供给，供应；求需求，需要。供应不能满足需求。
38,一目了然,"['yi', 'mu', 'liao', 'ran']",目看；了然清楚，明白。一眼就看得很清楚。
39,显而易见,"['xian', 'er', 'yi', 'jian']",形容事情或道理很明显，极容易看清楚。
40,持之以恒,"['chi', 'zhi', 'yi', 'heng']",持坚持；恒恒心。长久坚持下去。
41,成千上万,"['cheng', 'qian', 'shang', 'wan']",形容数量很多。
42,大街小巷,"['da', 'jie', 'xiao', 'xiang']",城镇里的街道里弄，概指都市里的各处地方。
43,可想而知,"['ke', 'xiang', 'er', 'zhi']",不用说明就能想象得到。
44,安居乐业,"['an', 'ju', 'le', 'ye']",安安定；乐喜爱，愉快；业职业。指安定愉快地生活和劳动。
45,齐心协力,"['qi', 'xin', 'xie', 'li']",形容认识一致，共同努力。
46,得天独厚,"['de', 'tian', 'du', 'hou']",天天然，自然；厚优厚。具备的条件特别优越，所处环境特别好。
47,一见钟情,"['yi', 'jian', 'zhong', 'qing']",钟集中；钟情爱情专注。旧指男女之间一见面就产生爱情。也指对事物一见就产生了感情。
48,艰苦奋斗,"['jian', 'ku', 'fen', 'dou']",不怕艰难困苦，坚持英勇斗争。
49,全心全意,"['quan', 'xin', 'quan', 'yi']",投入全部精力，一点没有保留。
50,独一无二,"['du', 'yi', 'wu', 'er']",没有相同的或没有可以相比的。
51,不约而同,"['bu', 'yue', 'er', 'tong']",约相约。事先没有约定而相互一致。
52,紧锣密鼓,"['jin', 'luo', 'mi', 'gu']",锣鼓点敲得很密。比喻公开活动前的紧张气氛和舆论准备。
53,五花八门,"['wu', 'hua', 'ba', 'men']",原指五行阵和八门阵。这是古代两种战术变化很多的阵势。比喻变化多端或花样繁多。
54,一应俱全,"['yi', 'ying', 'ju', 'quan']",一应一切；俱都。一切齐全，应有尽有。
55,应运而生,"['ying', 'yun', 'er', 'sheng']",应顺应；运原指天命，泛指时机。旧指应天命而产生。现指适应时机而产生。
56,与众不同,"['yu', 'zhong', 'bu', 'tong']",跟大家不一样。
57,触目惊心,"['chu', 'mu', 'jing', 'xin']",看见某种严重情况，心里感到震惊。
58,屡见不鲜,"['lv', 'jian', 'bu', 'xian']",屡多次；鲜新鲜，新奇。常常见到，并不新奇。
59,无独有偶,"['wu', 'du', 'you', 'ou']",独一个；偶一双。不只一个，竟然还有配对的。表示两事或两人十分相似。
60,行之有效,"['xing', 'zhi', 'you', 'xiao']",之代词，它，指办法、措施等；效成效，效果。实行起来有成效。指某种方法或措施已经实行过，证明很有效用。
61,不知不觉,"['bu', 'zhi', 'bu', 'jue']",知知道；觉觉察。没有意识到，没有觉察到。现多指未加注意。
62,大势所趋,"['da', 'shi', 'suo', 'qu']",大势指整个局势。整个局势发展的趋向。
63,千家万户,"['qian', 'jia', 'wan', 'hu']",指众多人家。
64,心有余悸,"['xin', 'you', 'yu', 'ji']",悸因害怕而心跳得厉害。危险的事情虽然过去了，回想起来心里还害怕。
65,不得而知,"['bu', 'de', 'er', 'zhi']",得能够。没有办法知道。
66,前所未有,"['qian', 'suo', 'wei', 'you']",从来没有过的。
67,迫不及待,"['po', 'bu', 'ji', 'dai']",近紧急。急迫得不能等待。形容心情急切。
68,雪上加霜,"['xue', 'shang', 'jia', 'shuang']",比喻接连遭受灾难，损害愈加严重。
69,迫在眉睫,"['po', 'zai', 'mei', 'jie']",形容事情已到眼前，情势十分紧迫。
70,此起彼伏,"['ci', 'qi', 'bi', 'fu']",这里起来，那里下去。形容接连不断。
71,脚踏实地,"['jiao', 'ta', 'shi', 'di']",脚踏在坚实的土地上。比喻做事踏实，认真。
72,意想不到,"['yi', 'xiang', 'bu', 'dao']",料想不到，没有料到。
73,错综复杂,"['cuo', 'zong', 'fu', 'za']",错交错，交叉；综合在一起。形容头绪多，情况复杂。
74,无可厚非,"['wu', 'ke', 'hou', 'fei']",厚深重；非非议，否定。不能过分责备。指说话做事虽有缺点，但还有可取之处，应予谅解。
75,源远流长,"['yuan', 'yuan', 'liu', 'chang']",源头很远，水流很长。比喻历史悠久。
76,举一反三,"['ju', 'yi', 'fan', 'san']",反类推。比喻从一件事情类推而知道其他许多事情。
77,循序渐进,"['xun', 'xu', 'jian', 'jin']",指学习工作等按照一定的步骤逐渐深入或提高。
78,不遗余力,"['bu', 'yi', 'yu', 'li']",遗留；余力剩下的力量。把全部力量都使出来，一点不保留。
79,不言而喻,"['bu', 'yan', 'er', 'yu']",喻了解，明白。不用说话就能明白。形容道理很明显。
80,讨价还价,"['tao', 'jia', 'huan', 'jia']",讨索取。买卖东西，卖主要价高，买主给价低，双方要反复争议。也比喻在进行谈判时反复争议，或接受任务时讲条件。
81,深恶痛绝,"['shen', 'wu', 'tong', 'jue']",恶厌恶；痛痛恨；绝极。指对某人或某事物极端厌恶痛恨。
82,三位一体,"['san', 'wei', 'yi', 'ti']",比喻三个人、三件事或三个方面联成的一个整体。
83,截然不同,"['jie', 'ran', 'bu', 'tong']",截然很分明地、断然分开的样子。形容两件事物毫无共同之处。
84,记忆犹新,"['ji', 'yi', 'you', 'xin']",犹还。过去的事，至今印象还非常清楚，就象刚才发生的一样。
85,喜闻乐见,"['xi', 'wen', 'le', 'jian']",喜欢听，乐意看。指很受欢迎。
86,家喻户晓,"['jia', 'yu', 'hu', 'xiao']",喻明白；晓知道。家家户户都知道。形容人所共知。
